number,CRN,Course,Title,Instructor(s),Times,Credits
0,12847,AAAS 600 901,AF & AFAM STUDIES COLLOQUIUM,"Fleisher, Jeffrey B.",  ,0
1,10304,AFSC 101 002,FOUNDATION OF THE USAF I,,12:00PM - 12:50PM W 2:30PM - 4:30PM W ,2
2,11113,AFSC 101 004,FOUNDATION OF THE USAF I,,8:00AM - 9:00AM T 2:30PM - 4:30PM W ,2
3,10305,AFSC 201 001,EVOLUTION OF AIR POWER I,,1:00PM - 1:50PM W 2:30PM - 4:30PM W ,2
4,10307,AFSC 301 001,AIR FORCE LEADERSHIP STUDY I,,8:00AM - 11:00AM W 2:30PM - 4:30PM W ,3
5,10308,AFSC 401 001,NATIONAL SECURITY AFFAIRS I,,10:00AM - 1:00PM W 2:30PM - 4:30PM W ,3
6,15814,AMCI 400 001,AMC HONORS THESIS,"Somerville, Ted", ,3
7,12948,ANTH 200 003,INTRO TO STUDY OF LANGUAGE,"Crouch, Caroline Q.",9:25AM - 10:40AM TR  ,3
8,12254,ANTH 203 001,INTRO BIOLOGICAL ANTHROPOLOGY,"Dominguez Rodrigo, Manuel",1:00PM - 2:15PM TR ,3
9,10715,ANTH 205 001,INTRO TO ARCHAEOLOGY,"Fleisher, Jeffrey B.",9:25AM - 10:40AM TR ,3
10,15229,ANTH 303 001,INTRO ARCHAEOLOGY SCIENCE,"Prendergast, Mary E.",10:50AM - 12:05PM TR ,3
11,15230,ANTH 315 001,ZOOARCHAEOLOGY,"Prendergast, Mary E.",12:00PM - 12:50PM F 2:30PM - 5:00PM T ,4
12,13894,ANTH 317 001,REVOLUTIONS AND UTOPIAS,"Boyer, Dominic C.",12:00PM - 2:30PM F ,3
13,15232,ANTH 321 001,SOCIAL LIFE OF DNA,"Massie, Victoria M.",1:00PM - 3:30PM R ,3
14,10414,ANTH 324 001,DOCUMENTARY PRODUCTION,"Huberman, Brian M.",2:30PM - 5:29PM R ,3
15,15234,ANTH 340 001,NEOLIBERALISM & GLOBALIZATION,"Boyer, Dominic C.",12:00PM - 2:29PM M ,3
16,13898,ANTH 344 002,CITY/CULTURE,"Gunel, Gokce",4:00PM - 6:30PM T ,3
17,15682,ANTH 346 001,QUEER ARCHAEOLOGY,"Morgan, Molly",4:00PM - 6:30PM W ,3
18,15236,ANTH 348 001,ANTHROPOLOGIES OF NATURE,"Howe, Cymene",4:00PM - 6:30PM W ,3
19,15238,ANTH 381 001,MEDICAL ANTHROPOLOGY,"Massie, Victoria M.",1:00PM - 3:30PM W ,3
20,15240,ANTH 392 001,ANCIENT MESOAMERICA,"Morgan, Molly",2:00PM - 3:15PM WF ,3
21,15561,ANTH 402 001,US-MEXICO RESEARCH EXPERIENCE,"Georges, Eugenia",4:00PM - 6:30PM R ,3
22,13905,ANTH 404 002,INDEPENDENT STUDY,"Massie, Victoria M.", ,1 TO 9
23,13906,ANTH 404 003,INDEPENDENT STUDY,"Georges, Eugenia", ,1 TO 9
24,12141,ANTH 404 004,INDEPENDENT STUDY,"Howe, Cymene", ,1 TO 9
25,13907,ANTH 404 005,INDEPENDENT STUDY,"Estrella, Amarilys", ,1 TO 9
26,13908,ANTH 404 007,INDEPENDENT STUDY,"Visweswaran, Kamala", ,1 TO 9
27,12142,ANTH 404 008,INDEPENDENT STUDY,"Boyer, Dominic C.", ,1 TO 9
28,15241,ANTH 404 009,INDEPENDENT STUDY,"Gershon, Ilana", ,1 TO 9
